,,,,,,,,,,,,
,4.00-4.05,4.05-4.10,4.10-4.14,4.15-4.20,4.20-4.25,4.25-4.30,4.30-4.35,4.35-4.40,4.40-4.45,4.45-4.50,4.50-4.55,4.55-5.00
NE,3,6,3,3,2,3,9,2,12,5,12,2
EN,2,1,3,2,3,1,3,5,2,6,5,3
NW,2,2,1,1,1,1,2,1,1,0,1,0
WN,0,0,0,0,0,1,0,1,0,0,0,0
SE,10,6,7,5,5,16,7,5,5,7,5,7
ES,4,12,8,8,12,17,6,17,16,14,13,10
SW,1,0,4,2,0,0,1,0,0,0,0,0
WS,1,2,1,3,0,0,2,0,0,1,0,2
NS,33,30,29,27,33,42,21,27,41,29,26,27
SN,24,38,33,28,40,33,30,24,28,31,27,24
EW,6,3,6,5,6,5,6,4,6,7,6,6
WE,6,3,1,4,0,2,5,4,4,5,2,6
